Loan Date,Patron Group,Library Name,Loans (Not In House),Permanent LC Classification Code
2022-01-02,Faculty,Baker-Berry Library,2,E
2022-01-02,Faculty,Baker-Berry Library,1,HB
2022-01-02,Faculty,Baker-Berry Library,1,PG
2022-01-02,Faculty,Baker-Berry Library,3,PS
2022-01-02,Faculty,Baker-Berry Library,1,Q
2022-01-02,Faculty,Baker-Berry Library,1,QP
2022-01-02,Graduate,Baker-Berry Library,2,QA
2022-01-02,Graduate,Baker-Berry Library,2,Unknown
2022-01-02,Non-Dartmouth,Baker-Berry Library,1,DS
2022-01-02,Staff,Baker-Berry Library,1,PR
2022-01-02,Undergraduate,Baker-Berry Library,1,QC
2022-01-02,Undergraduate,Baker-Berry Library,3,Unknown
2022-01-03,BorrowDirect,Baker-Berry Library,1,DT
2022-01-03,Faculty,Baker-Berry Library,6,B
2022-01-03,Faculty,Baker-Berry Library,2,BL
2022-01-03,Faculty,Baker-Berry Library,3,BM
2022-01-03,Faculty,Baker-Berry Library,1,BR
2022-01-03,Faculty,Baker-Berry Library,4,BS
2022-01-03,Faculty,Baker-Berry Library,2,BT
2022-01-03,Faculty,Baker-Berry Library,1,CD
2022-01-03,Faculty,Baker-Berry Library,1,D
2022-01-03,Faculty,Baker-Berry Library,2,DA
2022-01-03,Faculty,Baker-Berry Library,5,DT
2022-01-03,Faculty,Baker-Berry Library,2,E
2022-01-03,Faculty,Baker-Berry Library,1,GN
2022-01-03,Faculty,Baker-Berry Library,1,HC
2022-01-03,Faculty,Baker-Berry Library,2,HD
2022-01-03,Faculty,Baker-Berry Library,1,HE
2022-01-03,Faculty,Baker-Berry Library,2,HG
2022-01-03,Faculty,Baker-Berry Library,3,HQ
2022-01-03,Faculty,Baker-Berry Library,1,JK
2022-01-03,Faculty,Baker-Berry Library,1,JL
2022-01-03,Faculty,Baker-Berry Library,1,LG
2022-01-03,Faculty,Baker-Berry Library,2,NA
2022-01-03,Faculty,Baker-Berry Library,1,ND
2022-01-03,Faculty,Baker-Berry Library,2,P
2022-01-03,Faculty,Baker-Berry Library,2,PL
2022-01-03,Faculty,Baker-Berry Library,5,PN
2022-01-03,Faculty,Baker-Berry Library,4,PR
2022-01-03,Faculty,Baker-Berry Library,1,PS
2022-01-03,Faculty,Baker-Berry Library,11,Unknown
2022-01-03,Graduate,Baker-Berry Library,1,PQ
2022-01-03,Graduate,Baker-Berry Library,2,PR
2022-01-03,Graduate,Baker-Berry Library,2,PS
2022-01-03,Graduate,Baker-Berry Library,2,QA
2022-01-03,Graduate,Baker-Berry Library,1,Unknown
2022-01-03,Staff,Baker-Berry Library,1,ML
2022-01-03,Staff,Baker-Berry Library,1,PR
2022-01-03,Staff,Baker-Berry Library,1,PS
2022-01-03,Staff,Baker-Berry Library,4,Unknown
2022-01-03,Undergraduate,Baker-Berry Library,3,B
2022-01-03,Undergraduate,Baker-Berry Library,1,BR
2022-01-03,Undergraduate,Baker-Berry Library,1,BV
