Num of Titles (Active),Dewey Classification Top Line,Dewey Classification
58,000,000
1,000,000.5.7/1376 22
1,000,0005.1/7
1,000,0005.4
0,000,0005.5609410904
1,000,0006.312
137,001,001
1,001,001 s
7,001,001.01
2,001,001.01/2
5,001,001.012
0,001,001.02373
2,001,001.0285
3,001,001.06/01
3,001,001.0601
5,001,001.068
1,001,001.068/8
0,001,001.0681
0,001,001.0688
4,001,001.089
1,001,001.0896
25,001,001.09
0,001,001.09/01
1,001,001.09/03
1,001,001.09/032
1,001,001.09/034
1,001,001.0903
2,001,001.09032
1,001,001.09034
3,001,001.0917/67
1,001,001.091767
2,001,001.093
1,001,001.0937
1,001,001.094
1,001,001.09410904
1,001,001.09411/09033
2,001,001.0942/09031
2,001,001.0942/09032
0,001,001.094209031
1,001,001.0943/09033
0,001,001.094309033
1,001,001.095693
12,001,001.1
3,001,001.1/094
2,001,001.1/094/0903
1,001,001.1/0943
1,001,001.1/0943/09034
1,001,001.1/0944
1,001,001.1/0944/09033
1,001,001.1/0951
0,001,001.109
1,001,001.10917671
3,001,001.1094
1,001,001.1094/09033
0,001,001.10943
1,001,001.10945
0,001,001.10973/0904
44,001,001.2
1,001,001.2/09
1,001,001.2/09/021
1,001,001.2/092
1,001,001.2/092/4
1,001,001.2/094
1,001,001.2/0942
1,001,001.2/09495
2,001,001.2/0951
1,001,001.2/0973
0,001,001.2/098
1,001,001.2014
1,001,001.2019
2,001,001.2082
1,001,001.20820943
1,001,001.209
1,001,001.209/02
1,001,001.209/032
4,001,001.20902
0,001,001.209021
2,001,001.209033
2,001,001.2092
1,001,001.2092/25487
1,001,001.20922
1,001,001.20924
5,001,001.2094
1,001,001.2094/09031
1,001,001.209409
1,001,001.209409/032
1,001,001.209409/033
1,001,001.20940902
1,001,001.209409032
0,001,001.20942
1,001,001.209469/09031
0,001,001.20946909031
1,001,001.20951/0904
0,001,001.209510904
0,001,001.20972
60,001,001.3
2,001,001.3/01
2,001,001.3/0285
0,001,001.3/03
1,001,001.3/05
2,001,001.3/071
1,001,001.3/071/1
4,001,001.3/071/173
6,001,001.3/08
1,001,001.3/09
1,001,001.3/09/032
2,001,001.3/092
0,001,001.3/094/09024
1,001,001.3/0943
1,001,001.3/0951
1,001,001.3/096897
4,001,001.301
48,001,001.30285
3,001,001.302854
0,001,001.305
12,001,001.3071
1,001,001.3071/073
1,001,001.3071/0973
1,001,001.3071/1
2,001,001.3071/173
2,001,001.3071073
5,001,001.30711
1,001,001.30711485
0,001,001.30711861
0,001,001.307119471
4,001,001.3072
1,001,001.3072/1
1,001,001.3072094231
2,001,001.30721
1,001,001.3079492
0,001,001.308
1,001,001.3082/0971
6,001,001.309
1,001,001.309/033
0,001,001.309033
3,001,001.3092
1,001,001.30922
1,001,001.309409033
1,001,001.30941
2,001,001.30943
0,001,001.30945
2,001,001.30951
2,001,001.3096
1,001,001.34/36/05
92,001,001.4
1,001,001.4/01/4
1,001,001.4/06/01
1,001,001.4/06073
5,001,001.4/0973
42,001,001.4/2
1,001,001.4/2 21
2,001,001.4/2/01
3,001,001.4/20285
3,001,001.4/202854678
0,001,001.4/202855133
0,001,001.4/2071
1,001,001.4/209729
12,001,001.4/22
1,001,001.4/22/05
0,001,001.4/22/078
1,001,001.4/22/0973
2,001,001.4/2202855133
0,001,001.4/220285554
2,001,001.4/22095109045
0,001,001.4/225
12,001,001.4/226
1,001,001.4/226 21
0,001,001.4/226/03
12,001,001.4/226028566
4,001,001.4/24
1,001,001.4/24 19
2,001,001.4/3
1,001,001.4/32
19,001,001.4/33
16,001,001.4/34
1,001,001.4/340151954
4,001,001.4/4
1,001,001.4/4/05
1,001,001.4/4/0922
1,001,001.4/4/0971
1,001,001.4/4/0973
1,001,001.4/409
0,001,001.401/9
1,001,001.4023
1,001,001.4025714
1,001,001.40285/58
1,001,001.4028558
1,001,001.403
1,001,001.406/071
2,001,001.406073
5,001,001.4068
0,001,001.4068/1
1,001,001.4068/4
0,001,001.40681
1,001,001.4071
0,001,001.4071/1
0,001,001.40715
1,001,001.409
1,001,001.40947
1,001,001.4095363
1,001,001.40974967
2,001,001.40979467
2,001,001.4098
94,001,001.42
2,001,001.42/2
2,001,001.420285
1,001,001.42028546
7,001,001.4202854678
1,001,001.42028553
1,001,001.420285632
1,001,001.4205
1,001,001.420711
15,001,001.422
1,001,001.4220243
1,001,001.422094109034
1,001,001.42209605
0,001,001.4222
78,001,001.4226
1,001,001.422602855133
1,001,001.42260285536
12,001,001.4226028566
3,001,001.424
1,001,001.43
0,001,001.432
22,001,001.433
23,001,001.434
12,001,001.44
1,001,001.440973
1,001,001.440983
2,001,001.5
1,001,001.5/01
1,001,001.5/05
1,001,001.5/3
1,001,001.5/33
1,001,001.5/34
2,001,001.5/39
1,001,001.5/6/01
14,001,001.51
2,001,001.51/01
3,001,001.51/05
1,001,001.51/0902
2,001,001.51/0944
0,001,001.510255
1,001,001.5107
1,001,001.5107205
0,001,001.510944
32,001,001.53
1,001,001.53/05
1,001,001.53/3
3,001,001.53/4
7,001,001.53/5
1,001,001.53/5/05
0,001,001.53/8
3,001,001.53/9
1,001,001.5303
1,001,001.530601
3,001,001.532
3,001,001.533
7,001,001.534
5,001,001.535
7,001,001.539
0,001,001.54
1,001,001.54/08
1,001,001.54/0938
3,001,001.54/2
2,001,001.54/2/05
2,001,001.54/3
1,001,001.54/3/094
0,001,001.540243318
1,001,001.542
1,001,001.54205
0,001,001.543
1,001,001.543094
8,001,001.5436
2,001,001.55
2,001,001.55/3
1,001,001.552
0,001,001.55209
1,001,001.5535
7,001,001.56
5,001,001.6
1,001,001.6/09
3,001,001.6/4
2,001,001.6/4/04
3,001,001.6/4/05
1,001,001.6/4/0711
1,001,001.6/4044
3,001,001.6/42
1,001,001.6/42/05
1,001,001.6/424/05
2,001,001.6/44/04
1,001,001.6/4404
2,001,001.60711
0,001,001.63
86,001,001.64
0,001,001.64 s
0,001,001.64/01
1,001,001.64/028/7
7,001,001.64/05
1,001,001.64/068/8
1,001,001.64/07/1
1,001,001.64/0711 s
1,001,001.64/09
9,001,001.64/2
2,001,001.64/2/05
6,001,001.64/24
1,001,001.64/24/05
1,001,001.64/25
1,001,001.64/25/0287
2,001,001.64/4
3,001,001.64/404
1,001,001.64/404/05
1,001,001.64/43
1,001,001.6404
1,001,001.64044
2,001,001.6405
2,001,001.64071
1,001,001.640711
1,001,001.64077
80,001,001.642
1,001,001.64201
2,001,001.6420151
2,001,001.642023
3,001,001.642068
22,001,001.6424
6,001,001.6425
1,001,001.64250287
2,001,001.6425068
1,001,001.64250688
2,001,001.64250724
1,001,001.644
15,001,001.64404
2,001,001.6443
1,001,001.88/2713
37,001,001.9
0,001,001.9/09
2,001,001.9/42
1,001,001.9/44
3,001,001.9/5
1,001,001.9/6
1,001,001.9/6/094309033
0,001,001.9/8
1,001,001.90973
6,001,001.94
0,001,001.940973
1,001,001.940977
1,001,001.9409789
16,001,001.942
1,001,001.942092
1,001,001.9420947
20,001,001.944
1,001,001.94409
2,001,001.95
5,001,001.96
1,001,001.980947
4,001,001/.01
0,001,001/.01 s
0,001,001/.01/2
0,001,001/.012
2,001,001/.023/73
2,001,001/.068
0,001,001/.09/034
1,001,001/.092/2
1,001,001/.094/09031
0,001,001/.09411/09033
0,001,001/.1/094209032
1,001,001/.68
37,002,002
0,002,002.0688
0,002,002.071073
1,002,002.0740922
8,002,002.075
2,002,002.075092
0,002,002.0750924
1,002,002.088/2701
1,002,002.08989045311
71,002,002.09
1,002,002.09/015
1,002,002.09/024
1,002,002.09/033
1,002,002.0901
2,002,002.0902
0,002,002.09033
2,002,002.0904
2,002,002.0917/67
1,002,002.093
0,002,002.0931
1,002,002.094
1,002,002.09409/031
0,002,002.09409031
7,002,002.0941
2,002,002.0941/09034
1,002,002.094109/024
0,002,002.09410903
2,002,002.09411
0,002,002.0942/09023
2,002,002.094209/031
1,002,002.0944
1,002,002.0944/09031
0,002,002.094409031
1,002,002.0946
1,002,002.0948
0,002,002.09492
1,002,002.0951
2,002,002.0951/5
0,002,002.09515
1,002,002.0954
1,002,002.095691
1,002,002.09682
2,002,002.09764
1,002,002.098
3,002,002.09861
1,002,002.317
1,002,002.5469627
1,002,002/.08/8211
4,002,002/.09
3,002,002/.0941
1,002,002/.0956
1,002,002/.0973
1,002,002/.098/09031
231,003,003
1,003,003 19
1,003,003 20
1,003,003.
1,003,003./54
0,003,003.01/5192
1,003,003.01/5196
1,003,003.015195
1,003,003.0724
5,003,003.1
1,003,003.2
205,003,003.3
1,003,003.305
1,003,003.3435
1,003,003.3511.8
1,003,003.35117
0,003,003.35133
1,003,003.363
30,003,003.5
0,003,003.5015113
1,003,003.522
122,003,003.54
1,003,003.5401515352
7,003,003.56
42,003,003.7
0,003,003.7/2
6,003,003.72
4,003,003.74
21,003,003.75
1,003,003.75015118
10,003,003.76
1,003,003.78
0,003,003.8
6,003,003.83
2,003,003.85
1,003,003.8501135
0,003,003.850115
38,003,003.857
1,003,003.857011
2,003,003.857015118
1,003,003.857028553
0,003,003/.
0,003,003/.01/51535
1,003,003/.05
2,003,003/.1
1,003,003/.2
30,003,003/.3
1,003,003/.3072
2,003,003/.3511
1,003,003/.35133
0,003,003/.3554
2,003,003/.366
26,003,003/.5
1,003,003/.5/0947
0,003,003/.52
79,003,003/.54
2,003,003/.54/01519
1,003,003/.54/015195
0,003,003/.54/05
0,003,003/.5401511324
0,003,003/.54024658
7,003,003/.56
9,003,003/.7
3,003,003/.71
6,003,003/.72
7,003,003/.74
1,003,003/.74015118
1,003,003/.74028553
5,003,003/.75
3,003,003/.76
0,003,003/.76/015114
2,003,003/.78
1,003,003/.8
5,003,003/.83
7,003,003/.85
1,003,003/.85/01154
21,003,003/.857
0,003,003/.857/0151
1,003,0032.01/5195
1,003,0032.10917/67
2885,004,004
1,004,004 $2 13
1,004,004 P963 [ONLINE]
1,004,004 s
1,004,004./32 22
2,004,004.0
1,004,004.009773/11
24,004,004.01
31,004,004.01/51
6,004,004.01/5113
1,004,004.01/5181
1,004,004.01/5196
68,004,004.01/9
1,004,004.01/9 22
3,004,004.014
468,004,004.0151
0,004,004.0151 22
55,004,004.015113
1,004,004.0151135
1,004,004.015114
5,004,004.015115
6,004,004.015118
3,004,004.01512
0,004,004.0151255
2,004,004.01513
1,004,004.015193
1,004,004.015195
333,004,004.019
1,004,004.019028564
1,004,004.0190688
1,004,004.0191
1,004,004.01922gerDNB
1,004,004.02/18
1,004,004.021
14,004,004.0218
14,004,004.023
1,004,004.02373
0,004,004.024374
1,004,004.0246584
3,004,004.028/6
1,004,004.028/8
9,004,004.0286
1,004,004.0287
3,004,004.0288
