From,Area,To,N
Brown University,Language and Literature,Language and Literature,81
Columbia University Libraries,Language and Literature,Language and Literature,164
Cornell University,Language and Literature,Language and Literature,101
Duke University,Language and Literature,Language and Literature,114
Harvard University,Language and Literature,Language and Literature,141
Johns Hopkins University,Language and Literature,Language and Literature,82
Massachusetts Institute of Technology,Language and Literature,Language and Literature,85
Princeton University,Language and Literature,Language and Literature,121
Stanford University,Language and Literature,Language and Literature,77
University of Chicago,Language and Literature,Language and Literature,111
University of Pennsylvania,Language and Literature,Language and Literature,130
Yale University,Language and Literature,Language and Literature,127
