From,Area,To,N,Quartile,Rank,Number of i-cords,Color
Brown University,Medicine,Medicine and Public Health,2,1,2,1,mongoose
Brown University,Medicine,General Care,3,1,1,1,bison
Columbia University Libraries,Medicine,Pharmacology,1,1,4,1,mist
Columbia University Libraries,Medicine,Specialty Care,3,1,3,1,bluebell
Columbia University Libraries,Medicine,General Care,6,2,1,2,blue
Columbia University Libraries,Medicine,Medicine and Public Health,6,2,1,2,blue
Cornell University,Medicine,General Care,3,1,2,1,brown sugar
Cornell University,Medicine,Medicine and Public Health,5,2,1,2,bark
Duke University,Medicine,General Care,3,1,2,1,delta
Duke University,Medicine,Medicine and Public Health,6,2,1,2,celestial
Harvard University,Medicine,Medicine and Public Health,1,1,3,1,pimento
Harvard University,Medicine,Pharmacology,1,1,3,1,pimento
Harvard University,Medicine,Specialty Care,1,1,3,1,pimento
Harvard University,Medicine,General Care,2,1,1,1,asphalt heather
Johns Hopkins University,Medicine,General Care,1,1,2,1,seafaring
Johns Hopkins University,Medicine,Medicine and Public Health,80,4,1,4,marine heather
Massachusetts Institute of Technology,Medicine,Pharmacology,1,1,4,1,silver
Massachusetts Institute of Technology,Medicine,Specialty Care,2,1,3,1,tomato
Massachusetts Institute of Technology,Medicine,Medicine and Public Health,5,2,2,2,garnet heather
Massachusetts Institute of Technology,Medicine,General Care,6,2,1,2,black
Princeton University,Medicine,General Care,1,1,3,1,sweet potato
Princeton University,Medicine,Specialty Care,2,1,2,1,orange
Princeton University,Medicine,Medicine and Public Health,8,2,1,2,bittersweet heather
Stanford University,Medicine,Specialty Care,1,1,3,1,mauve
Stanford University,Medicine,General Care,2,1,2,1,serrano
Stanford University,Medicine,Medicine and Public Health,6,2,1,2,lingonberry heather
University of Chicago,Medicine,Pharmacology,1,1,4,1,canary
University of Chicago,Medicine,Specialty Care,2,1,3,1,toffee
University of Chicago,Medicine,General Care,6,2,2,2,autumn heather
University of Chicago,Medicine,Medicine and Public Health,8,2,1,2,hazelnut
University of Pennsylvania,Medicine,Pharmacology,2,1,4,1,sky
University of Pennsylvania,Medicine,Specialty Care,3,1,3,1,lipstick
University of Pennsylvania,Medicine,General Care,5,2,2,2,mulberry
University of Pennsylvania,Medicine,Medicine and Public Health,8,2,1,2,jay
Yale University,Medicine,Medicine and Public Health,2,1,2,1,marble heather
Yale University,Medicine,Specialty Care,2,1,2,1,marble heather
Yale University,Medicine,General Care,7,2,1,2,navy
