From,Area,To,N,Quartile,Rank,Number of i-cords,Color
Brown University,STEM,Applied Sciences and Engineering,5,2,3,2,doe
Brown University,STEM,Life Sciences,5,2,3,2,doe
Brown University,STEM,Physical Sciences,8,2,2,2,mongoose
Brown University,STEM,General Science and Mathematics,14,3,1,3,bison
Columbia University Libraries,STEM,Life Sciences,3,1,4,1,mist
Columbia University Libraries,STEM,General Science and Mathematics,5,2,3,2,bluebell
Columbia University Libraries,STEM,Physical Sciences,7,2,2,2,opal heather
Columbia University Libraries,STEM,Applied Sciences and Engineering,8,2,1,2,blue
Cornell University,STEM,Physical Sciences,3,1,4,1,white
Cornell University,STEM,General Science and Mathematics,8,2,3,2,raspberry heather
Cornell University,STEM,Life Sciences,12,3,2,3,brown sugar
Cornell University,STEM,Applied Sciences and Engineering,25,3,1,3,bark
Duke University,STEM,Physical Sciences,2,1,4,1,chicory
Duke University,STEM,General Science and Mathematics,6,2,3,2,ciel
Duke University,STEM,Life Sciences,10,3,2,3,delta
Duke University,STEM,Applied Sciences and Engineering,16,3,1,3,celestial
Harvard University,STEM,General Science and Mathematics,4,2,3,2,pimento
Harvard University,STEM,Applied Sciences and Engineering,6,2,2,2,ash
Harvard University,STEM,Life Sciences,8,2,1,2,asphalt heather
Johns Hopkins University,STEM,Physical Sciences,3,1,4,1,sage brush
Johns Hopkins University,STEM,General Science and Mathematics,6,2,2,2,seafaring
Johns Hopkins University,STEM,Life Sciences,6,2,2,2,seafaring
Johns Hopkins University,STEM,Applied Sciences and Engineering,8,2,1,2,marine heather
Massachusetts Institute of Technology,STEM,Physical Sciences,9,3,4,3,silver
Massachusetts Institute of Technology,STEM,Life Sciences,13,3,3,3,tomato
Massachusetts Institute of Technology,STEM,General Science and Mathematics,20,3,2,3,garnet heather
Massachusetts Institute of Technology,STEM,Applied Sciences and Engineering,22,3,1,3,black
Princeton University,STEM,Life Sciences,2,1,3,1,sweet potato
Princeton University,STEM,Physical Sciences,2,1,3,1,sweet potato
Princeton University,STEM,General Science and Mathematics,4,2,2,2,orange
Princeton University,STEM,Applied Sciences and Engineering,13,3,1,3,bittersweet heather
Stanford University,STEM,General Science and Mathematics,2,1,4,1,peony
Stanford University,STEM,Physical Sciences,3,1,3,1,mauve
Stanford University,STEM,Life Sciences,8,2,2,2,serrano
Stanford University,STEM,Applied Sciences and Engineering,11,3,1,3,lingonberry heather
University of Chicago,STEM,Physical Sciences,1,1,4,1,canary
University of Chicago,STEM,Life Sciences,3,1,3,1,toffee
University of Chicago,STEM,Applied Sciences and Engineering,8,2,1,2,hazelnut
University of Chicago,STEM,General Science and Mathematics,8,2,1,2,hazelnut
University of Pennsylvania,STEM,Life Sciences,3,1,4,1,sky
University of Pennsylvania,STEM,General Science and Mathematics,5,2,3,2,lipstick
University of Pennsylvania,STEM,Physical Sciences,8,2,2,2,mulberry
University of Pennsylvania,STEM,Applied Sciences and Engineering,22,3,1,3,jay
Yale University,STEM,Physical Sciences,1,1,4,1,cream
Yale University,STEM,General Science and Mathematics,9,3,3,3,sinnley heather
Yale University,STEM,Life Sciences,10,3,2,3,marble heather
Yale University,STEM,Applied Sciences and Engineering,13,3,1,3,navy
