From,Area,To,N,Quartile,Rank,Number of i-cords,Color
Brown University,Social Sciences,Information Science and Education,8,2,4,2,suede
Brown University,Social Sciences,"Geography, Anthropology, Recreation",11,3,3,3,doe
Brown University,Social Sciences,Government and Law,37,4,2,4,mongoose
Brown University,Social Sciences,"Business, Economics and Sociology",50,4,1,4,bison
Columbia University Libraries,Social Sciences,Information Science and Education,15,3,4,3,mist
Columbia University Libraries,Social Sciences,"Geography, Anthropology, Recreation",25,3,3,3,bluebell
Columbia University Libraries,Social Sciences,Government and Law,30,4,2,4,opal heather
Columbia University Libraries,Social Sciences,"Business, Economics and Sociology",69,4,1,4,blue
Cornell University,Social Sciences,"Geography, Anthropology, Recreation",11,3,4,3,white
Cornell University,Social Sciences,Information Science and Education,13,3,3,3,raspberry heather
Cornell University,Social Sciences,Government and Law,30,4,2,4,brown sugar
Cornell University,Social Sciences,"Business, Economics and Sociology",64,4,1,4,bark
Duke University,Social Sciences,Information Science and Education,7,2,4,2,chicory
Duke University,Social Sciences,"Geography, Anthropology, Recreation",11,3,3,3,ciel
Duke University,Social Sciences,Government and Law,35,4,2,4,delta
Duke University,Social Sciences,"Business, Economics and Sociology",49,4,1,4,celestial
Harvard University,Social Sciences,Information Science and Education,15,3,4,3,gosling
Harvard University,Social Sciences,"Geography, Anthropology, Recreation",18,3,3,3,pimento
Harvard University,Social Sciences,Government and Law,23,3,2,3,ash
Harvard University,Social Sciences,"Business, Economics and Sociology",62,4,1,4,asphalt heather
Johns Hopkins University,Social Sciences,Information Science and Education,7,2,4,2,sage brush
Johns Hopkins University,Social Sciences,"Geography, Anthropology, Recreation",10,3,3,3,pool
Johns Hopkins University,Social Sciences,Government and Law,27,3,2,3,seafaring
Johns Hopkins University,Social Sciences,"Business, Economics and Sociology",39,4,1,4,marine heather
Massachusetts Institute of Technology,Social Sciences,Information Science and Education,5,2,4,2,silver
Massachusetts Institute of Technology,Social Sciences,"Geography, Anthropology, Recreation",9,3,3,3,tomato
Massachusetts Institute of Technology,Social Sciences,Government and Law,22,3,2,3,garnet heather
Massachusetts Institute of Technology,Social Sciences,"Business, Economics and Sociology",70,4,1,4,black
Princeton University,Social Sciences,Information Science and Education,12,3,4,3,turmeric
Princeton University,Social Sciences,"Geography, Anthropology, Recreation",25,3,3,3,sweet potato
Princeton University,Social Sciences,Government and Law,28,4,2,4,orange
Princeton University,Social Sciences,"Business, Economics and Sociology",84,4,1,4,bittersweet heather
Stanford University,Social Sciences,Information Science and Education,6,2,4,2,peony
Stanford University,Social Sciences,Government and Law,9,3,3,3,mauve
Stanford University,Social Sciences,"Geography, Anthropology, Recreation",17,3,2,3,serrano
Stanford University,Social Sciences,"Business, Economics and Sociology",30,4,1,4,lingonberry heather
University of Chicago,Social Sciences,"Geography, Anthropology, Recreation",10,3,4,3,canary
University of Chicago,Social Sciences,Government and Law,19,3,2,3,autumn heather
University of Chicago,Social Sciences,Information Science and Education,19,3,2,3,autumn heather
University of Chicago,Social Sciences,"Business, Economics and Sociology",72,4,1,4,hazelnut
University of Pennsylvania,Social Sciences,"Geography, Anthropology, Recreation",20,3,3,3,lipstick
University of Pennsylvania,Social Sciences,Information Science and Education,20,3,3,3,lipstick
University of Pennsylvania,Social Sciences,Government and Law,24,3,2,3,mulberry
University of Pennsylvania,Social Sciences,"Business, Economics and Sociology",74,4,1,4,jay
Yale University,Social Sciences,Information Science and Education,11,3,4,3,cream
Yale University,Social Sciences,"Geography, Anthropology, Recreation",20,3,3,3,sinnley heather
Yale University,Social Sciences,Government and Law,33,4,2,4,marble heather
Yale University,Social Sciences,"Business, Economics and Sociology",66,4,1,4,navy
