From,Area,To,N,Quartile,Rank,Number of i-cords,Generic category,Color
Applied Arts,Music and Arts,Brown University,2,1,4,1,Cat1,limeade heather
Performing Arts,Music and Arts,Brown University,4,1,3,1,Cat4,lichen
Architecture,Music and Arts,Brown University,6,1,2,1,Cat2,grass
Fine Arts,Music and Arts,Brown University,48,3,1,3,Cat3,douglas fir
Applied Arts,Music and Arts,Columbia University Libraries,10,2,4,2,Cat1,limeade heather
Performing Arts,Music and Arts,Columbia University Libraries,38,3,3,3,Cat4,lichen
Architecture,Music and Arts,Columbia University Libraries,51,3,2,3,Cat2,grass
Fine Arts,Music and Arts,Columbia University Libraries,118,4,1,4,Cat3,douglas fir
Applied Arts,Music and Arts,Cornell University,2,1,4,1,Cat1,limeade heather
Performing Arts,Music and Arts,Cornell University,22,3,3,3,Cat4,lichen
Architecture,Music and Arts,Cornell University,29,3,2,3,Cat2,grass
Fine Arts,Music and Arts,Cornell University,65,4,1,4,Cat3,douglas fir
Applied Arts,Music and Arts,Duke University,2,1,4,1,Cat1,limeade heather
Architecture,Music and Arts,Duke University,4,1,3,1,Cat2,edamame
Performing Arts,Music and Arts,Duke University,9,2,2,2,Cat4,caper
Fine Arts,Music and Arts,Duke University,16,2,1,2,Cat3,douglas fir
Applied Arts,Music and Arts,Harvard University,13,2,4,2,Cat1,limeade heather
Performing Arts,Music and Arts,Harvard University,29,3,3,3,Cat4,lichen
Architecture,Music and Arts,Harvard University,89,4,2,4,Cat2,grass
Fine Arts,Music and Arts,Harvard University,159,4,1,4,Cat3,douglas fir
Applied Arts,Music and Arts,Johns Hopkins University,5,1,4,1,Cat1,limeade heather
Architecture,Music and Arts,Johns Hopkins University,10,2,3,2,Cat2,edamame
Performing Arts,Music and Arts,Johns Hopkins University,33,3,2,3,Cat4,caper
Fine Arts,Music and Arts,Johns Hopkins University,122,4,1,4,Cat3,douglas fir
Performing Arts,Music and Arts,Massachusetts Institute of Technology,3,1,3,1,Cat4,lichen
Architecture,Music and Arts,Massachusetts Institute of Technology,11,2,2,2,Cat2,grass
Fine Arts,Music and Arts,Massachusetts Institute of Technology,49,3,1,3,Cat3,douglas fir
Applied Arts,Music and Arts,Princeton University,7,1,4,1,Cat1,limeade heather
Performing Arts,Music and Arts,Princeton University,10,2,3,2,Cat4,lichen
Architecture,Music and Arts,Princeton University,21,3,2,3,Cat2,grass
Fine Arts,Music and Arts,Princeton University,163,4,1,4,Cat3,douglas fir
Architecture,Music and Arts,Stanford University,2,1,4,1,Cat2,green tea heather
Applied Arts,Music and Arts,Stanford University,3,1,3,1,Cat1,tarragon
Performing Arts,Music and Arts,Stanford University,7,1,2,1,Cat4,caper
Fine Arts,Music and Arts,Stanford University,29,3,1,3,Cat3,douglas fir
Applied Arts,Music and Arts,University of Chicago,3,1,4,1,Cat1,limeade heather
Architecture,Music and Arts,University of Chicago,6,1,3,1,Cat2,edamame
Performing Arts,Music and Arts,University of Chicago,9,2,2,2,Cat4,caper
Fine Arts,Music and Arts,University of Chicago,53,4,1,4,Cat3,douglas fir
Performing Arts,Music and Arts,University of Pennsylvania,3,1,4,1,Cat4,safflower
Applied Arts,Music and Arts,University of Pennsylvania,5,1,3,1,Cat1,tarragon
Architecture,Music and Arts,University of Pennsylvania,11,2,2,2,Cat2,grass
Fine Arts,Music and Arts,University of Pennsylvania,57,4,1,4,Cat3,douglas fir
Applied Arts,Music and Arts,Yale University,12,2,4,2,Cat1,limeade heather
Performing Arts,Music and Arts,Yale University,25,3,3,3,Cat4,lichen
Architecture,Music and Arts,Yale University,54,4,2,4,Cat2,grass
Fine Arts,Music and Arts,Yale University,172,4,1,4,Cat3,douglas fir
