From,Area,To,N
General Works,Reference Works,Brown University,3
General Works,Reference Works,Columbia University Libraries,4
General Works,Reference Works,Cornell University,2
General Works,Reference Works,Duke University,1
General Works,Reference Works,Harvard University,5
General Works,Reference Works,Johns Hopkins University,3
General Works,Reference Works,Princeton University,6
General Works,Reference Works,University of Chicago,1
General Works,Reference Works,University of Pennsylvania,3
General Works,Reference Works,Yale University,4
