Loan Date,Patron Group,Library Name,Loans (Not In House),Permanent LC Classification Code
2022-01-02,,,0,DS
2022-01-02,,,0,HM
2022-01-02,,,0,HQ
2022-01-02,,,0,HX
2022-01-02,,,0,ML
2022-01-02,,,0,PA
2022-01-02,,,0,PN
2022-01-02,,,0,PT
2022-01-02,,,0,Unknown
2022-01-02,Faculty,,1,E
2022-01-02,Faculty,,1,HB
2022-01-02,Faculty,,1,PS
2022-01-02,Faculty,Baker-Berry Library,2,E
2022-01-02,Faculty,Baker-Berry Library,1,HB
2022-01-02,Faculty,Baker-Berry Library,1,PG
2022-01-02,Faculty,Baker-Berry Library,3,PS
2022-01-02,Faculty,Baker-Berry Library,1,Q
2022-01-02,Faculty,Baker-Berry Library,1,QP
2022-01-02,Graduate,Baker-Berry Library,2,QA
2022-01-02,Graduate,Baker-Berry Library,2,Unknown
2022-01-02,Graduate,Resource Sharing Library,1,Unknown
2022-01-02,Non-Dartmouth,Baker-Berry Library,1,DS
2022-01-02,Staff,Baker-Berry Library,1,PR
2022-01-02,Undergraduate,Baker-Berry Library,1,QC
2022-01-02,Undergraduate,Baker-Berry Library,3,Unknown
2022-01-03,,,0,BF
2022-01-03,,,0,BP
2022-01-03,,,0,BR
2022-01-03,,,0,CN
2022-01-03,,,0,D
2022-01-03,,,0,DG
2022-01-03,,,0,DK
2022-01-03,,,0,DS
2022-01-03,,,0,DT
2022-01-03,,,0,E
2022-01-03,,,0,F
2022-01-03,,,0,G
2022-01-03,,,0,GA
2022-01-03,,,0,GT
2022-01-03,,,0,HB
2022-01-03,,,0,HC
2022-01-03,,,0,HQ
2022-01-03,,,0,HT
2022-01-03,,,0,HV
2022-01-03,,,0,JC
2022-01-03,,,0,JQ
2022-01-03,,,0,JV
2022-01-03,,,0,KF
2022-01-03,,,0,KMK
2022-01-03,,,0,LC
2022-01-03,,,0,M
2022-01-03,,,0,ML
2022-01-03,,,0,N
2022-01-03,,,0,NA
2022-01-03,,,0,NB
2022-01-03,,,0,NC
2022-01-03,,,0,ND
2022-01-03,,,0,NE
2022-01-03,,,0,NK
2022-01-03,,,0,NX
2022-01-03,,,0,P
2022-01-03,,,0,PA
2022-01-03,,,0,PE
2022-01-03,,,0,PL
2022-01-03,,,0,PN
2022-01-03,,,0,PQ
2022-01-03,,,0,PR
2022-01-03,,,0,PS
2022-01-03,,,0,PT
2022-01-03,,,0,PZ
2022-01-03,,,0,Q
2022-01-03,,,0,QA
2022-01-03,,,0,QC
2022-01-03,,,0,QD
2022-01-03,,,0,QH
2022-01-03,,,0,QM
2022-01-03,,,0,R
2022-01-03,,,0,RA
2022-01-03,,,0,RC
2022-01-03,,,0,T
2022-01-03,,,0,TR
2022-01-03,,,0,U
2022-01-03,,,0,Unknown
2022-01-03,,,0,Z
2022-01-03,BorrowDirect,Baker-Berry Library,1,DT
2022-01-03,BorrowDirect,Resource Sharing Library,1,BF
2022-01-03,BorrowDirect,Resource Sharing Library,3,CB
2022-01-03,BorrowDirect,Resource Sharing Library,1,CC
2022-01-03,BorrowDirect,Resource Sharing Library,2,CT
2022-01-03,BorrowDirect,Resource Sharing Library,1,D
2022-01-03,BorrowDirect,Resource Sharing Library,5,DA
2022-01-03,BorrowDirect,Resource Sharing Library,1,DF
2022-01-03,BorrowDirect,Resource Sharing Library,1,DK
2022-01-03,BorrowDirect,Resource Sharing Library,9,DS
2022-01-03,BorrowDirect,Resource Sharing Library,2,DT
2022-01-03,BorrowDirect,Resource Sharing Library,7,E
2022-01-03,BorrowDirect,Resource Sharing Library,5,F
2022-01-03,BorrowDirect,Resource Sharing Library,5,GN
2022-01-03,BorrowDirect,Resource Sharing Library,2,GT
2022-01-03,BorrowDirect,Resource Sharing Library,1,GV
2022-01-03,BorrowDirect,Resource Sharing Library,1,JC
2022-01-03,BorrowDirect,Resource Sharing Library,1,M
2022-01-03,BorrowDirect,Resource Sharing Library,4,ML
2022-01-03,BorrowDirect,Resource Sharing Library,2,P
2022-01-03,BorrowDirect,Resource Sharing Library,1,PA
2022-01-03,BorrowDirect,Resource Sharing Library,1,PE
2022-01-03,BorrowDirect,Resource Sharing Library,1,PF
2022-01-03,BorrowDirect,Resource Sharing Library,2,PG
2022-01-03,BorrowDirect,Resource Sharing Library,1,PJ
2022-01-03,BorrowDirect,Resource Sharing Library,14,PL
2022-01-03,BorrowDirect,Resource Sharing Library,11,PN
2022-01-03,BorrowDirect,Resource Sharing Library,12,PQ
2022-01-03,BorrowDirect,Resource Sharing Library,8,PR
2022-01-03,BorrowDirect,Resource Sharing Library,13,PS
2022-01-03,BorrowDirect,Resource Sharing Library,3,PT
2022-01-03,BorrowDirect,Resource Sharing Library,1,PZ
2022-01-03,BorrowDirect,Resource Sharing Library,1,RA
2022-01-03,BorrowDirect,Resource Sharing Library,1,RC
2022-01-03,BorrowDirect,Resource Sharing Library,3,Z
2022-01-03,Faculty,,1,BM
2022-01-03,Faculty,,2,BR
2022-01-03,Faculty,,1,BX
2022-01-03,Faculty,,3,DS
